campaign_id,campaign_start,campaign_end,days_active,spend,impressions,clicks,ctr,n_leads,inbounded_perc,high_leads_perc,adult_leads_perc,connected_call_perc,revenue,roas
120200380862510164,"13 October, 2023","8 November, 2023",18,"1,665.44","33,743",185,0.55,0,,,,,0,0
120200922225420164,"2 November, 2023","28 March, 2024",148,"1,022,183.69","56,872,960","283,333",0.4981857810812027,"39,700",74.72,22.88,27.03,33.33,"2,235,486",2.19
120201056553150164,"25 October, 2023","6 June, 2024",191,"489,857.57","15,070,626","73,967",0.4908024,0,,,,,0,0
120201307777040164,"3 November, 2023","4 November, 2023",2,541.96,"16,074",96,0.597237775289287047,0,,,,,0,0
120201443538580164,"8 November, 2023","5 December, 2023",25,"1,407.76","31,001",125,0.403212799587110093,0,,,,,0,0
120201519322810164,"11 November, 2023","3 December, 2023",14,524.08,"24,890",18,0.07231820008035,0,,,,,0,0
120201724025050164,"17 November, 2023","2 December, 2023",14,921.57,"13,511",77,0.56990600251646806306,0,,,,,0,0
120202879460690164,"8 December, 2023","9 December, 2023",2,149.06,"14,481",126,0.8701057,0,,,,,0,0
120202936216480164,"9 December, 2023","7 January, 2024",30,"1,709.36","409,273",2,0.00048867137582982508,0,,,,,0,0
120203374608600164,"13 December, 2023","10 January, 2024",27,"1,608.92","50,716",74,0.14591056077,0,,,,,0,0
120203689812800155,"12 December, 2023","13 January, 2024",33,"3,252.78","1,203,598",4,0.00033,0,,,,,0,0
120204573177440164,"8 February, 2024","5 May, 2024",88,"23,318.55","1,151,934","5,519",0.47910731,0,,,,,0,0
120204712562850164,"7 January, 2024","4 February, 2024",27,"4,375.69","191,896",959,0.4997498645099,75,80,30.67,14.67,0,"3,000",0.6856061558291378046
120206926492190164,"1 March, 2024","13 June, 2024",103,"766,336.23","37,875,601","175,381",0.463045,"24,374",73.48,22.42,18.09,41.9,"1,789,000",2.33
120207071174170164,"1 March, 2024","13 June, 2024",104,"810,431.41","42,561,022","185,014",0.4347029073,"44,693",76.43,23.91,82.27,42.2,"2,292,973",2.83
120207112447300164,"2 March, 2024","1 April, 2024",30,"7,884.13","603,298","2,055",0.34062768316818554015,450,63.78,20,76,0,"19,000",2.41
120207150530150164,"2 March, 2024","3 April, 2024",33,"7,994.47","342,580","2,721",0.794267032517952011,128,80.47,28.91,5.47,0,"10,500",1.31
120208108348750164,"28 March, 2024","13 June, 2024",72,"27,264.44","782,217","3,519",0.44987516251884068,0,,,,,0,0
120208769226490164,"4 May, 2024","14 July, 2024",69,"34,388.72","1,159,808","5,854",0.504738715373579075,0,,,,,0,0
120209399162590164,"4 May, 2024","20 June, 2024",38,"15,572.24","514,361","2,274",0.4421019,0,,,,,0,0
120210011121140164,"19 May, 2024","24 June, 2024",27,"8,952.72","325,090","1,295",0.4,0,,,,,0,0
120210571535000164,"12 June, 2024","25 August, 2024",57,"87,391.53","3,826,969","17,130",0.44761271909963211095,"2,116",84.83,27.08,17.72,43.67,"1,457,493",16.68
120210742429270164,"19 June, 2024","11 November, 2024",146,"207,158.16","5,073,752","37,826",0.7455232340879097,0,,,,,0,0
120211415561600164,"20 July, 2024","20 July, 2024",1,0.54,65,1,1.54,0,,,,,0,0
120211415882200164,"20 July, 2024","20 July, 2024",1,395.04,"9,326",62,0.664808063,0,,,,,0,0
120211419022600164,"20 July, 2024","30 August, 2024",37,"25,418.52","569,323","2,509",0.44069886514333691068,0,,,,,0,0
120211420887910164,"20 July, 2024","22 July, 2024",3,792.31,"2,002",2,0.0999000999000999001,0,,,,,0,0
120211461132750164,"22 July, 2024","29 August, 2024",38,"23,070.11","492,584","2,288",0.4644893054,0,,,,,0,0
120212920882640155,"15 August, 2024","7 September, 2024",16,"6,442.26","209,385",843,0.40260763665019,114,89.47,29.82,14.91,46.71,"41,500",6.44
120212921576690155,"15 August, 2024","21 September, 2024",36,"21,222.84","934,491","3,698",0.3957234473098,867,86.62,25.84,88.81,40.25,"45,000",2.12
18845571258,"16 November, 2022","17 November, 2022",2,"1,057.87","946,845",617,0.06516378077,0,,,,,0,0
18851665100,"16 November, 2022","17 November, 2022",2,759.35,"4,966",64,1.29,0,,,,,0,0
18873382291,"16 November, 2022","16 November, 2022",1,0.004102,1,0,0,0,,,,,0,0
19573050380,"21 January, 2023","16 February, 2023",8,240.78,"4,126",21,0.508967523025,0,,,,,0,0
20096955315,"15 May, 2023","26 July, 2023",48,"36,981.72","476,064","8,429",1.77,0,,,,,0,0
20377025495,"19 July, 2023","4 September, 2023",48,"10,722.37","132,705","2,428",1.83,0,,,,,0,0
20516144098,"1 September, 2023","13 October, 2023",42,"47,318.31","610,948","10,049",1.64,0,,,,,0,0
20538047647,"9 September, 2023","19 January, 2024",76,"115,747.12","2,610,741","144,354",5.53,"1,530",37.78,18.82,12.16,0,"4,500",0.0388778585057
20574917036,"22 September, 2023","13 October, 2023",22,"60,801.16","3,983,347","19,307",0.48469289770637607017,0,,,,,0,0
20644763706,"13 October, 2023","19 January, 2024",99,"822,363.76","67,727,488","355,282",0.52,"33,533",70.99,16.21,20.9,0,"1,467,201",1.78
20654490937,"12 October, 2023","14 November, 2023",34,"103,006.97","9,572,529","29,920",0.3125610797313855095,"1,498",79.64,25.23,16.82,0,"213,250",2.07
20738621426,"2 November, 2023","6 November, 2023",5,"5,114.55","135,665","4,214",3.11,0,,,,,0,0
